mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
8.3046875,9.5078125,9.91796875,9.3046875,171.015625,213.98828125,652.51953125
8.359375,9.5859375,11.96484375,9.36328125,166.21484375,205.58203125,659.515625
8.26953125,9.5859375,9.9296875,9.28515625,168.921875,213.36328125,653.9609375
8.3125,9.62109375,9.91015625,9.26953125,165.47265625,211.90625,659.828125
8.36328125,9.6328125,9.92578125,9.3125,166.88671875,215.87109375,665.0390625
8.44140625,9.5,9.87890625,9.20703125,170.66796875,206.52734375,663.49609375
8.2734375,9.59765625,9.8984375,9.203125,167.7265625,213.03125,686.7734375
8.37109375,9.515625,9.92578125,9.21875,179.40234375,212.7421875,659.33203125
8.28515625,9.578125,9.9296875,9.203125,170.45703125,209.73046875,670.12890625
8.40625,9.5703125,9.9609375,9.2734375,165.40625,207.54296875,662.91015625
8.2890625,9.5625,9.98046875,9.3046875,168.15625,213.98046875,629.45703125
8.29296875,9.58984375,9.87890625,9.33203125,172.234375,211.015625,625.79296875
8.28515625,9.578125,9.921875,9.28515625,165.765625,209.28125,658.546875
8.44140625,9.55859375,9.9609375,9.2734375,168.3359375,209.09375,617.06640625
8.32421875,9.55078125,9.90625,9.2421875,170.15625,212.96875,664.8515625
8.37109375,9.6328125,9.86328125,9.21875,169.43359375,208.953125,659.9140625
8.3359375,9.5703125,9.9140625,9.2890625,166.02734375,216.4375,664.171875
8.28515625,9.62109375,9.94921875,9.36328125,165.5390625,212.8515625,660.68359375
8.2734375,9.6171875,9.96484375,9.3046875,163.6484375,215.53125,669.16015625
8.28125,9.59375,9.94140625,9.265625,172.0,208.06640625,601.24609375
8.328125,9.63671875,9.9140625,9.3359375,167.6015625,212.5,657.76171875
8.29296875,9.5078125,10.01953125,9.25,174.00390625,208.9140625,602.09375
8.05078125,9.58984375,9.96875,9.3046875,171.56640625,212.5546875,660.14453125
8.359375,9.60546875,11.97265625,9.19921875,169.57421875,215.1796875,663.9296875
8.3671875,9.55078125,9.87890625,9.30078125,171.1640625,207.41796875,622.59375
8.3671875,9.625,9.89453125,9.30859375,169.5390625,206.86328125,658.109375
8.3671875,9.61328125,9.9140625,9.328125,170.00390625,210.59375,666.2109375
8.26953125,9.58984375,9.95703125,9.3359375,166.88671875,203.87890625,605.13671875
8.29296875,9.59375,11.921875,9.28125,181.02734375,206.06640625,634.23046875
8.30078125,9.59375,9.92578125,9.3515625,166.2421875,210.6484375,663.1796875
8.37109375,9.59375,9.91015625,9.375,168.5078125,207.23046875,674.01171875
8.29296875,9.6796875,9.8984375,9.328125,169.89453125,207.49609375,656.17578125
8.2734375,9.61328125,9.8359375,9.26953125,168.5546875,210.80859375,663.921875
8.3125,9.5859375,9.921875,9.3359375,167.34375,203.171875,655.80859375
8.35546875,9.6796875,9.80859375,9.3046875,165.44921875,209.15234375,600.4609375
8.3671875,9.609375,9.90234375,9.28515625,164.97265625,209.88671875,602.03125
8.36328125,9.65234375,9.9453125,9.296875,170.0,217.7265625,658.08203125
8.46875,9.55078125,9.9140625,9.26171875,163.01953125,217.234375,657.77734375
8.2734375,9.58984375,9.9921875,9.30859375,166.7578125,202.85546875,655.79296875
8.3125,9.54296875,9.86328125,9.23046875,178.5859375,209.83984375,662.84765625
8.27734375,9.51171875,9.94921875,9.37109375,168.53515625,213.53125,661.453125
8.32421875,9.66796875,9.9765625,9.2734375,165.3046875,211.4140625,661.66796875
8.421875,9.55859375,9.96875,9.32421875,164.703125,205.2578125,675.53515625
8.4609375,9.62109375,10.01171875,9.31640625,169.5234375,216.390625,600.23828125
8.2734375,9.6015625,9.9375,9.21875,166.9375,205.61328125,659.28515625
8.31640625,9.515625,9.8828125,9.25,164.234375,210.80078125,632.51953125
8.35546875,9.6015625,9.9453125,9.359375,171.1484375,215.68359375,602.81640625
8.29296875,9.6171875,9.94140625,9.35546875,181.546875,211.6171875,595.421875
8.30859375,9.56640625,9.94140625,9.17578125,170.9765625,211.37890625,670.50390625
8.06640625,9.515625,9.97265625,9.1953125,168.1171875,217.03125,663.40625
8.2734375,9.58203125,9.91015625,9.23046875,168.91015625,215.24609375,664.96484375
8.27734375,9.5859375,9.9140625,9.28515625,171.15234375,212.33984375,659.51171875
8.31640625,9.59765625,11.90234375,9.2578125,172.27734375,205.578125,654.63671875
8.3671875,9.5,9.9375,9.21875,177.3046875,211.62890625,602.21484375
8.3671875,9.50390625,9.86328125,9.30859375,164.49609375,207.58203125,659.4140625
8.3125,9.4609375,9.8984375,9.3515625,169.890625,207.42578125,658.31640625
8.2890625,9.62890625,9.90625,9.26953125,173.64453125,215.140625,636.890625
8.37890625,9.59765625,9.99609375,9.296875,170.625,210.64453125,660.0859375
8.09765625,9.54296875,9.9453125,9.203125,173.77734375,205.7734375,665.375
8.27734375,9.5546875,9.92578125,9.16796875,171.60546875,213.51953125,659.015625
8.32421875,9.51953125,9.85546875,9.27734375,170.86328125,210.078125,668.99609375
8.28515625,9.5859375,9.96484375,9.3125,167.640625,213.95703125,660.515625
