mri-1.8.7,mri-2.3.3,ruby+omr,rtl-mjit,jruby-1.7.27,jruby-9.1.13,truffleruby-0.30.2
0.338706841,0.337050473,0.310446545,0.311527455,2.047324322,2.484050489,5.424445413
0.332655948,0.336608012,0.317126701,0.312844072,2.010081438,2.620587773,5.678011149
0.333044504,0.330696077,0.294651191,0.316009485,2.029468485,2.487359158,5.313345749
0.316607887,0.332948915,0.313928091,0.320975005,2.033158377,2.502164437,5.380170283
0.336759927,0.330813256,0.321166404,0.312244276,1.952646191,2.619033831,5.40126662
0.337579538,0.345017563,0.309364645,0.31357401,1.952268818,2.504801216,5.728699326
0.324833132,0.327637849,0.308394369,0.315791506,2.015864763,2.550798713,5.593666836
0.33181986,0.336601337,0.315471675,0.302996411,1.97630695,2.526068335,5.230407597
0.324114587,0.330370751,0.297723348,0.313935825,1.991872831,2.492879518,5.398935078
0.339759502,0.331027734,0.318654486,0.319495632,2.00501416,2.519352143,5.650338382
0.331901183,0.336178065,0.311301428,0.316126843,2.031216881,2.471678118,5.503044122
0.323877482,0.347994798,0.323250465,0.311949645,2.087111201,2.493668949,5.886266314
0.329427089,0.338094959,0.312094113,0.316015536,1.977151159,2.448536014,5.442961641
0.321603532,0.335460722,0.31136682,0.322198156,2.082504053,2.540634782,5.332639999
0.338647653,0.327000617,0.315038046,0.317398291,1.970941276,2.498869652,5.550494613
0.346184433,0.343886021,0.314091405,0.317421114,2.086447574,2.488905765,5.527973251
0.321563823,0.333885325,0.313615578,0.318557328,1.964907325,2.493129113,5.662829314
0.344434604,0.32679343,0.322018042,0.315430269,2.150127122,2.511318274,5.529306336
0.34255919,0.331905144,0.317365037,0.315146142,2.02081172,2.454917964,5.550347547
0.336621252,0.332448872,0.312347641,0.325180763,2.028042633,2.715108117,5.460320234
0.328719431,0.32042926,0.299993107,0.313547501,1.986013579,2.513737845,5.143203985
0.340972771,0.336450836,0.304836612,0.314604657,2.04947707,2.515355,5.173704348
0.33412462,0.33039785,0.305338367,0.312369005,2.126705346,2.477005841,5.380419087
0.341987844,0.330248405,0.317055673,0.322389419,2.02715206,2.446175888,5.306721127
0.329699802,0.330146561,0.316557239,0.30824318,1.966405459,2.593160793,5.641886097
0.337766752,0.341407391,0.316559068,0.312443823,2.093691887,2.422530872,5.310157102
0.324539554,0.337647217,0.317899238,0.309533004,1.999895023,2.536922687,5.615891118
0.335447606,0.335459206,0.317291444,0.30957352,2.171810473,2.549943992,5.492889501
0.340939514,0.334219586,0.320341996,0.320024334,2.002793718,2.538392067,5.522663727
0.334593185,0.328733898,0.31794155,0.322684507,2.04818796,2.50147745,5.211030851
0.334401539,0.329282367,0.30875881,0.308980011,2.025413692,2.710995935,5.430238242
