Trial,mri-2.3.3,ruby+omr,rtl-mjit,jruby-9.1.13
90,114.03515625,111.39453125,110.8984375,
91,115.58203125,109.37890625,110.8984375,
92,115.83984375,110.1484375,110.8984375,
93,116.09765625,110.6640625,110.8984375,
94,116.09765625,110.6640625,110.8984375,
95,114.765625,110.6640625,110.8984375,
96,114.765625,109.99609375,110.8984375,
97,115.27734375,111.54296875,111.15625,
98,115.27734375,111.54296875,111.15625,
99,115.27734375,111.54296875,111.15625,
100,115.27734375,110.71875,111.15625,
101,115.27734375,111.234375,111.15625,
102,115.27734375,111.234375,111.15625,
103,115.79296875,109.21875,111.15625,
104,115.79296875,109.98828125,111.15625,
105,115.79296875,111.27734375,111.15625,
106,115.79296875,111.27734375,111.15625,
107,115.79296875,110.1796875,111.15625,
108,115.79296875,110.1796875,111.15625,
109,115.79296875,110.94921875,111.15625,
110,114.45703125,110.94921875,111.15625,
111,114.45703125,109.70703125,111.15625,
112,114.7109375,109.9609375,110.1328125,
113,111.484375,111.5078125,110.1328125,
114,113.02734375,111.5078125,110.1328125,
115,114.01171875,110.68359375,110.38671875,
116,114.01171875,109.953125,110.38671875,
117,111.6953125,110.984375,110.90234375,
118,111.6953125,110.984375,110.90234375,
119,113.49609375,110.1640625,110.90234375,
120,114.52734375,110.1640625,110.90234375,
121,114.52734375,111.19140625,110.90234375,
122,114.52734375,111.19140625,110.90234375,
123,114.52734375,109.8671875,110.90234375,
124,111.68359375,109.8671875,111.41796875,
125,113.2265625,111.41015625,111.41796875,
126,113.703125,111.41015625,111.41796875,
127,113.703125,111.41015625,110.12890625,
128,113.703125,109.421875,110.12890625,
129,114.4765625,110.453125,110.3828125,
130,114.4765625,110.453125,110.8984375,
131,114.734375,110.453125,110.8984375,
132,113.6484375,109.421875,110.8984375,
133,113.6484375,111.2265625,110.8984375,
134,113.90234375,111.2265625,110.8984375,
135,114.93359375,109.16796875,110.8984375,
136,114.93359375,109.9375,110.8984375,
137,114.93359375,110.7109375,110.8984375,
138,113.6484375,110.7109375,110.8984375,
139,113.6484375,109.58984375,110.8984375,
140,113.6484375,109.58984375,110.8984375,
141,114.41796875,110.875,110.8984375,
142,114.93359375,110.875,110.8984375,
143,115.44921875,109.80078125,110.8984375,
144,115.44921875,110.0546875,110.8984375,
145,115.44921875,111.6015625,110.12109375,
146,115.44921875,111.6015625,110.12109375,
147,115.44921875,110.8359375,110.12109375,
148,115.44921875,110.8359375,110.12109375,
149,115.44921875,111.08984375,110.16015625,
150,115.44921875,111.08984375,110.16015625,
151,115.44921875,110.33203125,110.16015625,
152,115.96484375,110.33203125,110.16015625,
153,115.96484375,111.1015625,110.3984375,
154,115.96484375,111.1015625,110.3984375,
155,115.96484375,110.4453125,110.3984375,
156,115.96484375,110.4453125,110.3984375,
157,115.96484375,110.95703125,110.3984375,
158,115.96484375,110.95703125,110.3984375,
159,115.96484375,109.7578125,110.3984375,
160,115.96484375,110.01171875,110.3984375,
161,114.609375,111.55859375,110.3984375,
162,114.609375,111.55859375,110.3984375,
163,114.609375,110.42578125,110.3984375,
164,114.609375,110.42578125,110.3984375,
165,114.609375,111.96875,110.3984375,
166,114.609375,111.96875,110.859375,
167,114.609375,111.14453125,110.859375,
168,114.609375,111.14453125,111.3671875,
169,114.609375,111.9140625,111.3671875,
170,114.609375,111.9140625,111.3671875,
171,114.609375,111.14453125,111.3671875,
172,114.609375,110.01171875,108.453125,
173,114.609375,110.78515625,108.453125,
174,114.609375,110.78515625,109.99609375,
175,115.12109375,109.7578125,109.99609375,
176,115.12109375,110.01171875,109.99609375,
177,115.12109375,111.04296875,109.99609375,
178,115.12109375,111.046875,106.5859375,
179,115.12109375,110.234375,106.5859375,
180,115.12109375,110.234375,108.90234375,
181,115.37890625,112.03125,109.41796875,
182,115.37890625,112.03125,109.41796875,
183,115.37890625,109.765625,109.93359375,
