Trial,mri-2.3.3,ruby+omr,rtl-mjit,jruby-9.1.13
296,,1153.118411903,980.020923486,
297,,1156.969229016,983.267105332,
298,,1160.872844018,986.568947497,
299,,1164.713497521,989.876475062,
300,,1168.620235128,993.219006766,
301,,1172.522656701,996.577546062,
302,,1176.434836893,999.877833161,
303,,1180.297500482,1003.137040569,
304,,1184.233748591,1006.418006433,
305,,1188.146164115,1009.758638171,
306,,1192.178131003,1013.078608409,
307,,1196.042607605,1016.361079639,
308,,1199.9435699,1019.690505845,
309,,,1022.96184252,
310,,,1026.291142953,
311,,,1029.612001128,
312,,,1032.896726303,
313,,,1036.234522966,
314,,,1039.64257442,
315,,,1042.981870975,
316,,,1046.2950445,
317,,,1049.608531434,
318,,,1052.929100311,
319,,,1056.238043572,
320,,,1059.559313344,
321,,,1062.830304917,
322,,,1066.130904648,
323,,,1069.453024326,
324,,,1072.708659945,
325,,,1076.006534675,
326,,,1079.324221044,
327,,,1082.605090743,
328,,,1085.879087985,
329,,,1089.182659519,
330,,,1092.505950108,
331,,,1095.952302449,
332,,,1099.24922646,
333,,,1102.552459569,
334,,,1105.860318531,
335,,,1109.174557032,
336,,,1112.463694667,
337,,,1115.78830653,
338,,,1119.097036338,
339,,,1122.386999625,
340,,,1125.664579438,
341,,,1128.963793271,
342,,,1132.274451413,
343,,,1135.553688324,
344,,,1138.848878192,
345,,,1142.113715293,
346,,,1145.392258654,
347,,,1148.691186808,
348,,,1152.002660705,
349,,,1155.351355054,
350,,,1158.662020661,
351,,,1161.937667495,
352,,,1165.273526807,
353,,,1168.585007031,
354,,,1171.936455249,
355,,,1175.219605086,
356,,,1178.522523899,
357,,,1181.83299725,
358,,,1185.134035507,
359,,,1188.446673955,
360,,,1191.721365324,
361,,,1195.005570326,
362,,,1198.322409635,
