Trial,mri-2.3.3
151,5.181281521
152,5.216442798
153,5.251438547
154,5.285652913
155,5.320327239
156,5.352763685
157,5.387311821
158,5.419579122
159,5.451359562
160,5.486851815
161,5.521792518
162,5.556346538
163,5.588997576
164,5.623513825
165,5.657789004
166,5.693269459
167,5.734098399
168,5.769903027
169,5.805054247
170,5.840294181
171,5.876128966
172,5.909148443
173,5.943662642
174,5.978443966
175,6.013691321
176,6.049041764
177,6.084366059
178,6.117354638
179,6.152648217
180,6.188990512
181,6.224667746
182,6.259386163
183,6.294811787
184,6.330189324
185,6.365339949
186,6.400238267
187,6.433309122
188,6.468683105
189,6.50458117
190,6.539167391
191,6.574530064
192,6.610113718
193,6.645010864
194,6.680849359
195,6.716617749
196,6.755675445
197,6.788681138
198,6.823884866
199,6.859225255
200,6.894232063
201,6.926765267
202,6.962270421
203,6.998251142
204,7.033294502
205,7.068641888
206,7.101197679
207,7.135741642
208,7.169924379
209,7.202127261
210,7.237654814
211,7.272198121
212,7.305223674
213,7.340559686
214,7.375051952
215,7.410437046
216,7.446322672
217,7.479232896
218,7.514842491
219,7.547844083
220,7.583609461
221,7.619088522
222,7.654328375
223,7.689949039
224,7.725178716
225,7.761091615
226,7.796501668
227,7.830998777
228,7.866212369
229,7.902482391
230,7.937566181
231,7.973091297
232,8.008440474
233,8.051012456
234,8.085278536
235,8.119873583
236,8.155119174
237,8.189940805
238,8.224558054
239,8.257448526
240,8.290117328
241,8.326334414
242,8.361599032
243,8.39712725
244,8.431812661
245,8.467153338
246,8.50265438
247,8.535752501
248,8.571947706
249,8.607416082
250,8.643112632
251,8.677988627
252,8.71305964
253,8.747257747
254,8.781632979
255,8.816615344
256,8.851682056
257,8.886576094
258,8.922037353
259,8.957331585
260,8.989846391
261,9.025232511
262,9.060431232
263,9.095524277
264,9.130561676
265,9.163141608
266,9.198309886
267,9.233024748
268,9.268040358
269,9.304091419
270,9.336911815
271,9.373048664
272,9.40634633
273,9.442438581
274,9.477586203
275,9.513034083
276,9.545200537
277,9.581904711
278,9.618185901
279,9.654335625
280,9.693942302
281,9.73258979
282,9.772619978
283,9.806782477
284,9.847099428
285,9.882944617
286,9.918413424
287,9.953840108
288,9.988647808
289,10.021793962
290,10.056467516
291,10.088595921
292,10.121817363
293,10.157062475
294,10.189232984
295,10.222410909
296,10.26536867
297,10.299915999
298,10.335217084
299,10.370507674
300,10.40645148
301,10.441368624
302,10.476855477
303,10.512392036
304,10.544600919
305,10.579345823
306,10.621946089
307,10.658674706
308,10.693775492
309,10.729189312
310,10.764272039
311,10.808574871
312,10.841514463
313,10.874226001
314,10.907520289
315,10.940188804
316,10.972898948
317,11.005057719
318,11.038338111
319,11.071653348
320,11.104726851
321,11.137662392
322,11.170612318
323,11.20288646
324,11.235516863
325,11.268023631
326,11.300004708
327,11.331893558
328,11.364467543
329,11.397475109
330,11.43027486
331,11.462927057
332,11.495588361
333,11.529179891
334,11.561984891
335,11.594692338
336,11.627487796
337,11.660074555
338,11.692685486
339,11.725546783
340,11.758184511
341,11.791106338
342,11.824052796
343,11.856823092
344,11.889405765
345,11.922021629
346,11.95458139
347,11.98708345
348,12.019812397
349,12.051625066
350,12.084520541
351,12.117478269
352,12.150284399
353,12.182429761
354,12.215641859
355,12.248415836
356,12.2812645
357,12.31413091
358,12.346555872
359,12.378670509
360,12.411960054
361,12.445079062
362,12.477120005
363,12.509959075
364,12.542603732
365,12.575246532
366,12.607565752
367,12.6409355
368,12.673541384
369,12.706424942
370,12.739151656
371,12.771763146
372,12.80438561
373,12.837086567
374,12.869641929
375,12.902899228
376,12.935819479
377,12.970925986
378,13.004027882
379,13.038261225
380,13.074027781
381,13.107199462
382,13.142410598
383,13.175021949
384,13.207928036
385,13.248144806
386,13.283299199
387,13.318100533
388,13.353108743
389,13.387404624
390,13.421690075
391,13.4559253
392,13.490313328
393,13.525441267
394,13.560624253
395,13.594657711
396,13.628626786
397,13.663511012
398,13.698049104
399,13.733086587
400,13.767340218
401,13.801944957
402,13.836705597
403,13.871335016
404,13.907072232
405,13.942299978
406,13.974413464
407,14.009741653
408,14.043699881
409,14.075977631
410,14.107950816
411,14.140974902
412,14.173479411
413,14.208553318
414,14.244403536
415,14.276770337
416,14.311090018
417,14.345130767
418,14.3793212
419,14.414974472
420,14.449919547
421,14.484684237
422,14.516543084
423,14.548337725
424,14.5831928
425,14.617456421
426,14.651537601
427,14.686422979
428,14.721925732
429,14.756702338
430,14.789092375
431,14.823985574
432,14.859702386
433,14.894431411
434,14.929456267
435,14.963995534
436,14.996640617
437,15.03124263
438,15.065941288
439,15.09835289
440,15.133034138
441,15.165684406
442,15.199982677
443,15.232400103
444,15.264629192
445,15.298702302
446,15.333601958
447,15.368264982
448,15.40066049
449,15.433291272
450,15.468120845
